id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original

0,1,hola,,saludo,saludo,k'uxi,Hola. ¿Cómo estás? K'uxi, k'uxi a vo'oton?,,,,,,hola saludo k'uxi. Hola. ¿Cómo estás? K'uxi, k'uxi a vo'oton?
1,9,a,,prep,preposición,ta,Voy a México. Chibat ta México,,,,,a prep ta Voy a México. Chibat ta ta Voy a México. Chibat ta México.
2,9,abajeño,,m,sustantivo masculino,"j'olonal-osil, jtolon-osilal (crixchano, vinic, etc",Este hombre es abajeño; viene de las tierras bajas. J'olon-osilal vinic li'i yulun talem ta olon osil. Chen j!olon vinic,Ch'en,Chenalhó,,,"abajeño m j'olonal-osil, jtolon-osilal j'olonal-osil, jtolon-osilal (crixchano, vinic, etc Este hombre es abajeño; viene de las tierras bajas. J'olon-osilal vinic li'i yulun talem ta olon osil. Chen j!olon vinic"
3,9,abajo,,adv,adverbio,olon abajo de ta yolon,Mi casa está más abajo de la iglesia. Li jnae tey oy ta yolon ch'ulna,,,,,abajo adv olon abajo de ta yolon. olon abajo de ta yolon. Mi casa está más abajo de la iglesia. Li jnae tey oy ta yolon ch'ulna.
4,9,abandonar,lo abandona,vr,verbo reflexivo,"ta xicta, ta scomtsan","El hombre abandonó a su mujer; se f volvió. Iyicta yaj ibat, mu xa bu ital",,,,,"abandonar: lo abandona vr ta xicta, ta xicta, ta scomtsan. El hombre abandonó a su mujer; se f volvió. Iyicta yaj ibat, mu xa bu ital."
5,9,abanicar,lo abanica,vt,verbo transitivo,ta svel,María abanica a su niño cuando hace mucho calor. Li xMale ta svelulanbe ic! li yol li claluc toj q!uixin li clactale,,,,,abanicar: lo abanica vt ta svel. ta svel. María abanica a su niño cuando hace mucho calor. Li xMale ta svelulanbe ic! li yol li claluc toj q!uixin li clactale.
6,9,abanico,,m,sustantivo masculino,"velob-ic!, svelobil. En tierra caliente las mujeres se echan aire con el abanico. Ta q!uixin osile li antsetique ta xac'be sbaic ic! ta velob-ic!. Ch!en velub-ic!",,Ch'en,Chenalhó,,,"abanico m velob-ic!, svelobil. En velob-ic!, svelobil. En tierra caliente las mujeres se echan aire con el abanico. Ta q!uixin osile li antsetique ta xac'be sbaic ic! ta velob-ic!. Ch!en velub-ic!"
7,9,abaratarse,se abarata,vr,verbo reflexivo,"ta xyal stojol, ta x'utsib","Cuando hay mucho maíz se abarata; pero cuando escasea, sube de precio. C!aluc oy ep ixime ta xyal stojol, pero mi mulyuque ta xtoy stojol. Chien ta stsul",,,,,"abaratarse: se abarata vr ta xyal ta xyal stojol, ta x'utsib. Cuando hay mucho maíz se abarata; pero cuando escasea, sube de precio. C!aluc oy ep ixime ta xyal stojol, pero mi mulyuque ta xtoy stojol. Chien ta stsul"
8,9,abarcar,lo abarca,vt,verbo transitivo,ta smac. Quiere abarcar más trabajo del que puede hacer. Chac smac ya!i ep abtel li buchtu xu! yulun ta spasel ti yaloje.,,,,,,abarcar: lo abarca ví ta smac. ta smac. Quiere abarcar más trabajo del que puede hacer. Chac smac ya!i ep abtel li buchtu xu! yulun ta spasel ti yaloje.
9,9,abdomen,,m,sustantivo masculino,"jch!utic, sctunil jchtutic, ch'util","Me duele el abdomen, al rato veré al doctor. C'ux li jch'ute, ta jliquel chba jpoxtavanej. jq!uel",,,,,"abdomen m jch!utic, sctunil jchtutic, jch!utic, sctunil jchtutic, ch'util. Me duele el abdomen, al rato veré al doctor. C'ux li jch'ute, ta jliquel chba jpoxtavanej. jq!uel"
10,9,abeja,,f,sustantivo femenino,"chanul pom, chanul ajapom",La miel de abeja es muy dulce. Li spom li chanul pome toj lec chi!,,,,,"abeja f chanul pom, chanul ajapom. chanul pom, chanul ajapom. La miel de abeja es muy dulce. Li spom li chanul pome toj lec chi!."
11,9,"abejorro, abejón",,m,sustantivo masculino,jonon Ch'en vonon [xt ctono!,,Ch'en,Chenalhó,,,"abejorro, abejón m jonon Ch'en jonon Ch'en vonon [xt ctono!"
12,9,abertura,,f,sustantivo femenino,sjomolil,"El 2 se salió por una abertura que tenía el cajón. Li arroze iloc! ta sjomolil li cajone. Ch'en, Zin svomolil 1xt sch!ojolil",Ch'en; Zin,Chenalhó; Zinacantán,,,"abertura f sjomolil. El 2 se salió sjomolil. El 2 se salió por una abertura que tenía el cajón. Li arroze iloc! ta sjomolil li cajone. Ch'en, Zin svomolil 1xt sch!ojolil."
13,9,abierto,,adj,adjetivo,jamal,"¡Pase!, la puerta está abierta. Ochan, jamal li ti'nae",,,,,"abierto adj jamal. ¡Pase!, la puerta jamal. ¡Pase!, la puerta está abierta. Ochan, jamal li ti'nae."
14,9,ablandar,lo ablanda,vr,verbo reflexivo,ta sctunibtas,La cal ablanda el nixtamal. Li tane ta sclunibtas li panene,,,,,ablandar: lo ablanda vr ta sctunibtas. ta sctunibtas. La cal ablanda el nixtamal. Li tane ta sclunibtas li panene.
15,9,abofetear,lo abofetea,vt,verbo transitivo,"ta stlaxbe, ta smaj, ta slec! ta majel","Pedro abofeteó a su mujer y le partió el labio. Li ¡Pegroe la stlaxbe ta majel ye li yajnile, ittom li yee",,,,,"abofetear: lo abofetea vt ta stlaxbe, ta stlaxbe, ta smaj, ta slec! ta majel. Pedro abofeteó a su mujer y le partió el labio. Li ¡Pegroe la stlaxbe ta majel ye li yajnile, ittom li yee."
16,9,abogado,,m,sustantivo masculino,"jletlesej-ctop, jctopojel",Ese abogado es muy bueno; defiende a los pobres sin cobrarles. Ali jletlesej-ctop lee toj lec yo!on; ta spojan li pobreetique mi jatuc jsetluc ta sclan stojol,,,,,"abogado m jletlesej-ctop, jctopojel. jletlesej-ctop, jctopojel. Ese abogado es muy bueno; defiende a los pobres sin cobrarles. Ali jletlesej-ctop lee toj lec yo!on; ta spojan li pobreetique mi jatuc jsetluc ta sclan stojol."
17,9,abollar,se abolla,vr,verbo reflexivo,ta xpots!q!uij,"Al caerse se abolló la olla del café. C!alal itstuj li calterail cajvele, ipots!q'uij. Zin ta xlobqluij",Zin,Zinacantán,,,"abollar: se abolla vr ta xpots!q!uij. ta xpots!q!uij. Al caerse se abolló la olla del café. C!alal itstuj li calterail cajvele, ipots!q'uij. Zin ta xlobqluij"
18,9,abonar,lo abona,vt,verbo transitivo,"ta sutes jto'loluc, ta sutes",Le aboné algo de lo que le debo. La jsutesbe jto'loluc li quil yuune. Chlen ta stojbe o'lol 1xt ta stoj jlomuc Zin ta sbic!tal-toj,Zin,Zinacantán,,,"abonar: lo abona ví ta sutes jto'loluc, ta sutes jto'loluc, ta sutes. Le aboné algo de lo que le debo. La jsutesbe jto'loluc li quil yuune. Chlen ta stojbe o'lol 1xt ta stoj jlomuc Zin ta sbic!tal-toj"
19,9,abono,,m,sustantivo masculino,"syaxal balumilal, c!alal lum, c!alal balumil",Voy a poner abono para mejorar mis siembras. Ta xcac!be syaxal balumilal yo! cluxi lec xch'i li jtstunube,,,,,"abono m syaxal balumilal, c!alal lum, syaxal balumilal, c!alal lum, c!alal balumil. Voy a poner abono para mejorar mis siembras. Ta xcac!be syaxal balumilal yo! cluxi lec xch'i li jtstunube."
20,9,abotonar,lo abotona,vt,verbo transitivo,ta sbaj svotonal. Abotónate el saco; hace mucho frío. Bajo li svotonal li apimil clute yulun toj toyol sic.,,,,,,abotonar: lo abotona vt ta sbaj ta sbaj svotonal. Abotónate el saco; hace mucho frío. Bajo li svotonal li apimil clute yulun toj toyol sic.
21,9,abrazar,lo abraza,vt,verbo transitivo,"ta smey, ta sqluech, ta spet. Abrazó a su compadre cuando llegó, porque le dió mucho gusto verlo",La smey li abrir scumparee li ctalal ictot ta julaajele yulun toj lec xmuybaj o,,,,,"abrazar: lo abraza ví ta smey, ta ta smey, ta sqluech, ta spet. Abrazó a su compadre cuando llegó, porque le dió mucho gusto verlo. La smey li abrir scumparee li ctalal ictot ta julaajele yulun toj lec xmuybaj o."
22,10,abrir,lo abre,vt,verbo transitivo,1. ta sjam,"La mujer abrió la puerta de su casa. Li antse la sjam sti! sna. 2. ta slich!. Abre el costal para que le eche otra cuartilla de café. Lich'bo sti! li coxtale, chacac'be to jun cuartia cajvel",,,,,"abrir: lo abre vt 1. ta sjam. La 1. ta sjam. La mujer abrió la puerta de su casa. Li antse la sjam sti! sna. 2. ta slich!. Abre el costal para que le eche otra cuartilla de café. Lich'bo sti! li coxtale, chacac'be to jun cuartia cajvel."
23,10,absolver,lo absuelve,vt,verbo transitivo,ta smeltsanbe sctoplal,El presidente municipal va a absolver a los presos. Li preserentee ta smeltsanbe scoplal li ¡chuqueletique,,,,,absolver: lo absuelve ví ta smeltsanbe ta smeltsanbe sctoplal. El presidente municipal va a absolver a los presos. Li preserentee ta smeltsanbe scoplal li ¡chuqueletique.
24,10,absorber,lo absorbe,vt,verbo transitivo,1. ta xuch!,La tierra seca absorbe pronto el agua. Ali taqui balumile ta ora ta xuch! ochel li jole. 2. ta scuchbe yic!. La ropa absorbe el humo. Li ctulile ta scuchbe yic! li ch'aile,,,,,absorber: lo absorbe vf 1. ta xuch!. 1. ta xuch!. La tierra seca absorbe pronto el agua. Ali taqui balumile ta ora ta xuch! ochel li jole. 2. ta scuchbe yic!. La ropa absorbe el humo. Li ctulile ta scuchbe yic! li ch'aile.
25,10,abstenerse,se abstiene,vr,verbo reflexivo,"ta stslin sba, ta stslic sba, ta spajtsan sba. Aunque a veces llega a la cantina con sus amigos, se abstiene de beber. Acto mi ta xc!ot baq!uintic schiluc schiiltac ta chonob-poxe mu xa xuch!; ta stslin sba.",,,,,,"abstenerse: se abstiene vr ta stslin ta stslin sba, ta stslic sba, ta spajtsan sba. Aunque a veces llega a la cantina con sus amigos, se abstiene de beber. Acto mi ta xc!ot baq!uintic schiluc schiiltac ta chonob-poxe mu xa xuch!; ta stslin sba."
26,10,abuela,,f,sustantivo femenino,"syaya Cham smuctme! Chien syame! 1xt, Zin smuc! ta mel.",,Cham; Zin,Chamula; Zinacantán,,,"abuela f syaya Cham smuctme! syaya Cham smuctme! Chien syame! 1xt, Zin smuc! ta mel."
27,10,abuelo,,m,sustantivo masculino,"smoltot Cham smucttot Ixt, Zin smuc! ta tot",,Cham; Ixt; Zin,Chamula; Ixtapa; Zinacantán,,,"abuelo m smoltot Cham smucttot smoltot Cham smucttot Ixt, Zin smuc! ta tot"
28,10,abundante,,adj,adjetivo,"ep, epal",Este año la cosecha fue abundante; se dio mucho. Li avi jabile ep iyac! li chobtique,,,,,"abundante adj ep, epal. Este año la ep, epal. Este año la cosecha fue abundante; se dio mucho. Li avi jabile ep iyac! li chobtique."
29,10,abundar,abunda,vi,verbo intransitivo,"ep chac!, lec chac!","Cuando abunda el maíz, está barato. Claluc lec chac! li chobtique, yalel stojol li ixime",,,,,"abundar: abunda vi ep chac!, lec ep chac!, lec chac!. Cuando abunda el maíz, está barato. Claluc lec chac! li chobtique, yalel stojol li ixime."
30,10,aburrirse,se aburre,vr,verbo reflexivo,ta xtavan xa'i,Me aburro cuando no voy a trabajar. Ta xtavan xca!i ctaluc muc bu chibat ta abtele. Ch/en ta xlech! yo'nton,,,,,aburrirse: se aburre vr ta xtavan ta xtavan xa'i. Me aburro cuando no voy a trabajar. Ta xtavan xca!i ctaluc muc bu chibat ta abtele. Ch/en ta xlech! yo'nton.
31,10,acá,,adv,adverbio,li'i,"Ven acá, quiero hablarte. La! li'i, chajctopon",,,,,"acá adv li'i. Ven acá, quiero li'i. Ven acá, quiero hablarte. La! li'i, chajctopon."
32,10,acabar,se acaba,vr,verbo reflexivo,"ta xlaj, ta xlaj yutun","Cuando acabes de hacer esa cama, quiero que me hagas una mesa. C!alal ta xlaj ameltsan li teme, ta jclan ti chameltsanbun junuc jmexa. acaba de ja! to",,,,,"acabar: se acaba vr ta xlaj, ta xlaj ta xlaj, ta xlaj yutun. Cuando acabes de hacer esa cama, quiero que me hagas una mesa. C!alal ta xlaj ameltsan li teme, ta jclan ti chameltsanbun junuc jmexa. acaba de ja! to."
33,10,acalorarse,se acalora,vt,verbo transitivo,ta xqluixnaj,"Con tanta ropa se acalora al niño y se pone muy llorón. Li ta epal ctutile ta xqluixnaj o tajmec li unene, ja! jech toj toyol ch-oc! o. Ixt ta xctactub",Ixt,Ixtapa,,,"acalorarse: se acalora vf ta xqluixnaj. ta xqluixnaj. Con tanta ropa se acalora al niño y se pone muy llorón. Li ta epal ctutile ta xqluixnaj o tajmec li unene, ja! jech toj toyol ch-oc! o. Ixt ta xctactub"
34,10,acariciar,lo acaricia,vr,verbo reflexivo,"ta sc'upilta, ta sctupin, c'upil ta xa'i",La mamá acaricia a su niño. Li me'ile ta sctupilta li ole,,,,,"acariciar: lo acaricia vr ta sc'upilta, ta sc'upilta, ta sctupin, c'upil ta xa'i. La mamá acaricia a su niño. Li me'ile ta sctupilta li ole."
35,10,acarrear,lo acarrea,vt,verbo transitivo,ta xean. Ahorita todos están acarreando mazorcas de la milpa. Li avie scotolic ta xeanic sch'ixiquil ixim ta schobic. Ch/en ta xejan,,,,,,acarrear: lo acarrea ví ta xean. ta xean. Ahorita todos están acarreando mazorcas de la milpa. Li avie scotolic ta xeanic sch'ixiquil ixim ta schobic. Ch/en ta xejan
36,10,acaso,,adv,adverbio,oy yictal,"Por si acaso nos vamos, ten listas las cosas. Oy yictal ti mi xijbatutique, meltsano ono!ox li ctusiticuque. Cham oy yiq!uel Ixt mu ta jaluc",Cham; Ixt,Chamula; Ixtapa,,,"acaso adv oy yictal. Por si acaso oy yictal. Por si acaso nos vamos, ten listas las cosas. Oy yictal ti mi xijbatutique, meltsano ono!ox li ctusiticuque. Cham oy yiq!uel Ixt mu ta jaluc"
37,10,acedía,,f,sustantivo femenino,clact-nuc!,No puedo comer carne de puerco porque me da acedía. Mu xu' ta jti' li sbec'tal chitome yu'un chiyactbe c!ac!-nuc!,,,,,acedía f clact-nuc!. No puedo comer clact-nuc!. No puedo comer carne de puerco porque me da acedía. Mu xu' ta jti' li sbec'tal chitome yu'un chiyactbe c!ac!-nuc!.
38,10,aceite,,m,sustantivo masculino,asete Cham asiete Zin asate,,Cham; Zin,Chamula; Zinacantán,,,aceite m asete Cham asiete Zin asete Cham asiete Zin asate
39,10,aceptar,lo acepta,vt,verbo transitivo,"1. ta xich!, ta schlam p.ej. un regalo 2. ta schtun (un trabajo, una propuesta, etc.)",El pueblo aceptó pagar la mitad del sueldo del maestro. Li yajval jteclume la sch'unic ti ta stojic j!o'lol li stojol li maestroe,,,,"un trabajo, una propuesta, etc.","aceptar: lo acepta vt 1. ta xich!, ta 1. ta xich!, ta schlam p.ej. un regalo 2. ta schtun (un trabajo, una propuesta, etc.). El pueblo aceptó pagar la mitad del sueldo del maestro. Li yajval jteclume la sch'unic ti ta stojic j!o'lol li stojol li maestroe."
40,10,acerca de,,prep,preposición,sventa,Hay muchos cuentos acerca de los que vivían en el pueblo abandonado. Oy ep lo'il ta sventa li buch'utic nacal tolox li ta jteclum li bu mu'yue xa buchu nacale. /xf scuenta Zin seventa,Zin,Zinacantán,,,acerca de prep sventa. Hay muchos sventa. Hay muchos cuentos acerca de los que vivían en el pueblo abandonado. Oy ep lo'il ta sventa li buch'utic nacal tolox li ta jteclum li bu mu'yue xa buchu nacale. /xf scuenta Zin seventa
41,10,acercar,lo acerca,vt,verbo transitivo,"ta snopojes Cham, Chen, Zin ta snopajes",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"acercar: lo acerca vf ta snopojes ta snopojes Cham, Chen, Zin ta snopajes"
42,10,acercarse,se acerca,vr,verbo reflexivo,"ta xnopoj. Lo pateó el caballo porque se acercó a él. Ilicat ta teq'uel ta ca' yu'un inopoj batel. Cham, Ch!en, Zin ta xnopaj",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"acercarse: se acerca vr ta xnopoj. Lo ta xnopoj. Lo pateó el caballo porque se acercó a él. Ilicat ta teq'uel ta ca' yu'un inopoj batel. Cham, Ch!en, Zin ta xnopaj"
43,10,aclarar,lo aclara,vt,verbo transitivo,"ta svinajes, ta smeltsanbe sctoplal. Ya aclararon quién fué el que se robó el café de mi tío",La svinajesic xa li buch'u laj yelctanbeel scajvel li juntote,,,,,"aclarar: lo aclara vt ta svinajes, ta ta svinajes, ta smeltsanbe sctoplal. Ya aclararon quién fué el que se robó el café de mi tío. La svinajesic xa li buch'u laj yelctanbeel scajvel li juntote."
44,11,acoger,lo acoge,vt,verbo transitivo,ta xotes,Mi mamá acogió con cariño a los visitantes. Ali jmele laj yotes ta scotol yoton li yulo!taque,,,,,acoger: lo acoge ví ta xotes. Mi ta xotes. Mi mamá acogió con cariño a los visitantes. Ali jmele laj yotes ta scotol yoton li yulo!taque.
45,11,lo acompaña,,vt,verbo transitivo,ta Acompañamos al maestro hasta la carretera. C'alal to muc' ta be ay jchilincutic li maestroe. Jxt ta slaq'uin,,,,,,lo acompaña vt ta ta Acompañamos al maestro hasta la carretera. C'alal to muc' ta be ay jchilincutic li maestroe. Jxt ta slaq'uin
46,11,aconsejar,le aconseja,vt,verbo transitivo,ta xalbe,Les aconsejó que llevaran a la niña al médico. I'albatic ti acto yig'uic batel ta jpoxtavanej li unen tseube,,,,,aconsejar: le aconseja vt ta xalbe. ta xalbe. Les aconsejó que llevaran a la niña al médico. I'albatic ti acto yig'uic batel ta jpoxtavanej li unen tseube.
47,11,acontecer,acontece,vi,verbo intransitivo,ta xc!ot ta pasel,,,,,,acontecer: acontece vi ta xc!ot ta ta xc!ot ta pasel
48,11,acordarse,se acuerda,vr,verbo reflexivo,"ta xjul ta sjol. Nadie se acuerda de haber visto una helada como la que cayó hace tres años. Muc buch'u xjul ta sjol ti yiloj li taiv jech chac ctu chatal li iyal li oy xa ta yoxibal jabile. Cham, Chien ta xvul ta sjol Ixr ta xtal ta sjol Zin ta xul ta sjol",,Cham; Ixt; Zin,Chamula; Ixtapa; Zinacantán,,,"acordarse: se acuerda vr ta xjul ta ta xjul ta sjol. Nadie se acuerda de haber visto una helada como la que cayó hace tres años. Muc buch'u xjul ta sjol ti yiloj li taiv jech chac ctu chatal li iyal li oy xa ta yoxibal jabile. Cham, Chien ta xvul ta sjol Ixr ta xtal ta sjol Zin ta xul ta sjol"
49,11,acostar,lo acuesta,vt,verbo transitivo,ta spuchlan,Acuesta al niño en la hamaca. Puch'ano ta jamaca li unene. /xt ta stalan Ch'en ta smochan,Ch'en,Chenalhó,,,acostar: lo acuesta vf ta spuchlan. ta spuchlan. Acuesta al niño en la hamaca. Puch'ano ta jamaca li unene. /xt ta stalan Ch'en ta smochan
50,11,acostarse,se acuesta,vr,verbo reflexivo,ta xpuch'i Ixt ta xtali Chien ta xmochi,,Ixt,Ixtapa,,,acostarse: se acuesta vr ta xpuch'i ta xpuch'i Ixt ta xtali Chien ta xmochi
51,11,acostumbrarse,se acostumbra,vr,verbo reflexivo,"ta xnop. Dicen que a todo se acostumbra uno, menos a no comer. Chalic ti scotol xnope, pero mo! chijve!e, mu xnop.",,,,,,"acostumbrarse: se acostumbra vr ta ta xnop. Dicen que a todo se acostumbra uno, menos a no comer. Chalic ti scotol xnope, pero mo! chijve!e, mu xnop."
52,11,acta,,f,sustantivo femenino,sjunal,"El secretario levantó el acta de la reunión que tuvimos con el presidente. Li jtstibajome la sloq'uesbe sjunal li tsobojel li la jtsob jbacutic schituc li preserentee. Cham, Ch'en, Zin svunal",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"acta f sjunal. El secretario levantó el sjunal. El secretario levantó el acta de la reunión que tuvimos con el presidente. Li jtstibajome la sloq'uesbe sjunal li tsobojel li la jtsob jbacutic schituc li preserentee. Cham, Ch'en, Zin svunal"
53,11,actitud,,f,sustantivo femenino,stalel,"A todos nos gusta la actitud del presidente, es muy amable. Jcotolcutic toj lec chca'icutic li stalel li preserentee yulun toj lec yoton",,,,,"actitud f stalel. A todos nos gusta la stalel. A todos nos gusta la actitud del presidente, es muy amable. Jcotolcutic toj lec chca'icutic li stalel li preserentee yulun toj lec yoton."
54,11,actividad,,f,sustantivo femenino,"c!usi ta jpastic. Estos son admirar días de mucha actividad, estamos paleando frijol, y pizcando maíz y café. Oy ep c!usi ta jpastic li avie, ta jmajtic chenec!, ta jetajtic ixim, ta jtuch'tic cajvel.",,,,,,"actividad f c!usi ta jpastic. Estos son c!usi ta jpastic. Estos son admirar días de mucha actividad, estamos paleando frijol, y pizcando maíz y café. Oy ep c!usi ta jpastic li avie, ta jmajtic chenec!, ta jetajtic ixim, ta jtuch'tic cajvel."
55,11,actual,,adj,adjetivo,"avi, li avie","El maestro actual es federal; los otros fueron particulares. Li maestro avie, ja! sventa ajvalil xa; li buch'utic i'ayic más balie, jech nolox maestroetic. Cham, Chen li ta orae Zin lavie",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"actual adj avi, li avie. El maestro avi, li avie. El maestro actual es federal; los otros fueron particulares. Li maestro avie, ja! sventa ajvalil xa; li buch'utic i'ayic más balie, jech nolox maestroetic. Cham, Chen li ta orae Zin lavie"
56,11,acuerdo,,m,sustantivo masculino,"co!ol sctopic, jmoj sctopic","Todos estuvieron de acuerdo en que se construya una casa para el maestro. Scotolic colol sctopic ti ta svalanbeic jp'ej sna li maestroe. [xt comon ta snopic, comon sctopic achicar: lo achica y! ta sbicitajes. Le quedaron grandes los pantalones que le trajo su papá, pero su mamá se los achicará. Mucttic ictot yutun li svexe li ilich'bat talel yutun li stote, ja! ta sbicttajes li sme'e. [xt ta smuts",,,,,"acuerdo m co!ol sctopic, jmoj sctopic. co!ol sctopic, jmoj sctopic. Todos estuvieron de acuerdo en que se construya una casa para el maestro. Scotolic colol sctopic ti ta svalanbeic jp'ej sna li maestroe. [xt comon ta snopic, comon sctopic achicar: lo achica y! ta sbicitajes. Le quedaron grandes los pantalones que le trajo su papá, pero su mamá se los achicará. Mucttic ictot yutun li svexe li ilich'bat talel yutun li stote, ja! ta sbicttajes li sme'e. [xt ta smuts"
57,11,achiote,,m,sustantivo masculino,"jotox Cham, Zin vo!ox",,Cham; Zin,Chamula; Zinacantán,,,"achiote m jotox Cham, Zin vo!ox jotox Cham, Zin vo!ox"
58,11,adelgazar,adelgaza,vt,verbo transitivo,ta xbacub. Adelgazó mucho con la enfermedad que tuvo. Ibacub o tajmec yutun li chamel li la snuptane. /xf ta xtaquij,,,,,,adelgazar: adelgaza ví ta xbacub. ta xbacub. Adelgazó mucho con la enfermedad que tuvo. Ibacub o tajmec yutun li chamel li la snuptane. /xf ta xtaquij
59,11,adentro,,adv,adverbio,ta yut,Pon las tablas adentro para que no se mojen. Ticlo ta yut na li tenel teletique yo! ctuxi mu x!ach'anique,,,,,adentro adv ta yut. Pon las tablas ta yut. Pon las tablas adentro para que no se mojen. Ticlo ta yut na li tenel teletique yo! ctuxi mu x!ach'anique.
60,11,adiós,,interj,interjección,bat me,"Cuando nos cruzamos en el camino con ese hombre, ni siquiera adios dijo. Ctalal la jeljbacutic ta be schiluc li vinic lete, mi jatuc bat me xiyutun. Cham, Chen 'batcun me",Cham; Ch'en,Chamula; Chenalhó,,,"adiós interj bat me. Cuando nos bat me. Cuando nos cruzamos en el camino con ese hombre, ni siquiera adios dijo. Ctalal la jeljbacutic ta be schiluc li vinic lete, mi jatuc bat me xiyutun. Cham, Chen 'batcun me"
61,11,administrar,lo administra,vt,verbo transitivo,ta schabi,"El no es el dueño del rancho, nada más lo administra. Li stuque maluc yajval li ranchoe, ja! notox ta schabi",,,,,"administrar: lo administra ví ta ta schabi. El no es el dueño del rancho, nada más lo administra. Li stuque maluc yajval li ranchoe, ja! notox ta schabi."
62,11,admirar,lo admira,vt,verbo transitivo,"ta xbat sch'ulel ta sqluelel, lec sba chil, lec ta xil El niño admira a los vaqueros cuando los ve pasar montados en sus caballos",Ali big'uit quereme admitir toj lec sba chil li jmac-vacaxetic li ctaluc chil cajal chjelavic ta scalique,,,,,"admirar: lo admira vt ta xbat sch'ulel ta xbat sch'ulel ta sqluelel, lec sba chil, lec ta xil El niño admira a los vaqueros cuando los ve pasar montados en sus caballos. Ali big'uit quereme admitir toj lec sba chil li jmac-vacaxetic li ctaluc chil cajal chjelavic ta scalique."
63,12,admitir,lo admite,vt,verbo transitivo,"ta xac!, ta sch!am",No admitieron al niño en la escuela porque todavía está muy chico. Li biq'uit quereme mo! to xchlame li ta chanob-june yu'un toj biqluit to. Ch/en ta xliqlue,,,,,"admitir: lo admite vt ta xac!, ta ta xac!, ta sch!am. No admitieron al niño en la escuela porque todavía está muy chico. Li biq'uit quereme mo! to xchlame li ta chanob-june yu'un toj biqluit to. Ch/en ta xliqlue"
64,12,adobe,,m,sustantivo masculino,xamit,,,,,,adobe m xamit xamit
65,12,adoptar,lo adopta,vt,verbo transitivo,ta sch'amalin,,,,,,adoptar: lo adopta ví ta sch'amalin ta sch'amalin
66,12,adorar,lo adora,vt,verbo transitivo,"ta xich! ta muc!, ta sta ta nalel",Hay algunas personas que no adoran a Dios. Oy buch'utic ti mu xich'ic ta muc! li Diose,,,,,"adorar: lo adora vf ta xich! ta muc!, ta xich! ta muc!, ta sta ta nalel. Hay algunas personas que no adoran a Dios. Oy buch'utic ti mu xich'ic ta muc! li Diose."
67,12,adormecer,lo adormece,vr,verbo reflexivo,ta svayubtas. Adormezco al niño. jvayubtas li nenete.,,,,,,adormecer: lo adormece vr ta ta svayubtas. Adormezco al niño. jvayubtas li nenete.
68,12,adormecerse,se adormece,vr,verbo reflexivo,"ta x!och o svayel, ta stsaque o ta vayel",Cuando viajo en camión me adormece el ruido del motor. C!aluc chixanav ta caroe ch-och o jvayel ta yetslal li smotorale,,,,,"adormecerse: se adormece vr ta x!och ta x!och o svayel, ta stsaque o ta vayel. Cuando viajo en camión me adormece el ruido del motor. C!aluc chixanav ta caroe ch-och o jvayel ta yetslal li smotorale."
69,12,adornar,lo adorna,vt,verbo transitivo,ta xactbe snichmal,Los niños adornaron la escuela para la fiesta del día de las madres. Ali unetique laj yac'beic snichmal li chanob-june sventa li q'uinal me'iletique. Ch'en ta xac!be snichimal,Ch'en,Chenalhó,,,adornar: lo adorna vt ta xactbe ta xactbe snichmal. Los niños adornaron la escuela para la fiesta del día de las madres. Ali unetique laj yac'beic snichmal li chanob-june sventa li q'uinal me'iletique. Ch'en ta xac!be snichimal
70,12,adulterio,,m,sustantivo masculino,mulivajel,,,,,,adulterio m mulivajel mulivajel
71,12,adulto,,m,sustantivo masculino,"yijil crixchano, muc'tic crixchano.",,,,,,"adulto m yijil crixchano, muc'tic yijil crixchano, muc'tic crixchano."
72,12,advertir,lo advierte,vr,verbo reflexivo,ta xalbe,"Le advertí que no se metiera al río, pero no me hizo caso y se ahogó. Laj calbe ti mu stic! sba ta uctume, pero mo! xisch'unbe, ja! jech ijictav",,,,,"advertir: lo advierte vr ta xalbe. Le ta xalbe. Le advertí que no se metiera al río, pero no me hizo caso y se ahogó. Laj calbe ti mu stic! sba ta uctume, pero mo! xisch'unbe, ja! jech ijictav."
73,12,afeitarse,se afeita,vr,verbo reflexivo,ta sjux yisim,Yo me afeito la barba nada más una vez a la semana. Li jo'one jun nolox velta ta xemana ta jux quisim. Ixt- ta sloc! yisim,Ixt,Ixtapa,,,afeitarse: se afeita vr ta sjux yisim. ta sjux yisim. Yo me afeito la barba nada más una vez a la semana. Li jo'one jun nolox velta ta xemana ta jux quisim. Ixt- ta sloc! yisim
