id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1691,86,Mave,,f,sustantivo femenino,"syaveal na (de casa) sjamobil jo! (del tubo de agua). Perdí la lave del candado y no pude abrir la puerta de mi casa. ljch'aj syaveal jna, mu xu! ta jam sti! jna. Cham yavi! (de casa), yavilal vo! (del tubo de agua) Ch'en yavi, syavial na (de casa)",,Cham; Ch'en,Chamula; Chenalhó,,de casa; de casa; del tubo de agua; de casa; del tubo de agua; de casa,"Mave f syaveal na (de casa) sjamobil syaveal na (de casa) sjamobil jo! (del tubo de agua). Perdí la lave del candado y no pude abrir la puerta de mi casa. ljch'aj syaveal jna, mu xu! ta jam sti! jna. Cham yavi! (de casa), yavilal vo! (del tubo de agua) Ch'en yavi, syavial na (de casa)"
1692,86,Negar,llega (acá),vi,verbo intransitivo,ta xjul,"Cuando llegó acá venía muy cansado, pues había caminado dos días sin parar. Li c!aluc ijul talele, lubem tajmec yu'un chib clactal naca xanbal ispas, mi ja'uc jsettuc bu la scux ta be. Cham, Ch'en ta xvul Zin ta xul Mega (allá) ta xc!ot. Llegando allá iré a visitar a mi abuelita. Ctalal chictot taje, chba julalan li jyayae",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,acá; allá,"Negar: llega (acá) vi ta xjul. Cuando ta xjul. Cuando llegó acá venía muy cansado, pues había caminado dos días sin parar. Li c!aluc ijul talele, lubem tajmec yu'un chib clactal naca xanbal ispas, mi ja'uc jsettuc bu la scux ta be. Cham, Ch'en ta xvul Zin ta xul Mega (allá) ta xc!ot. Llegando allá iré a visitar a mi abuelita. Ctalal chictot taje, chba julalan li jyayae."
1693,86,Menar,lo llena,vt,verbo transitivo,"ta snojes. Llena el cántaro de agua; yo lo llevaré a tu casa. Nojeso ta jo! li aqluibe, jo'on chquich! batel ta ana.",,,,,,"Menar: lo llena ví ta snojes. Llena el ta snojes. Llena el cántaro de agua; yo lo llevaré a tu casa. Nojeso ta jo! li aqluibe, jo'on chquich! batel ta ana."
1694,86,Menarse,se llena,vi,verbo intransitivo,ta xnoj,,,,,,Menarse: se llena vi ta xnoj ta xnoj
1695,86,lleno,,adj,adjetivo,noj,Me trajo un morral lleno de naranjas. Laj yich'bun talel jun moral noj ta alaxa,,,,,lleno adj noj. Me trajo un morral noj. Me trajo un morral lleno de naranjas. Laj yich'bun talel jun moral noj ta alaxa.
1696,86,llevar,,vr,verbo reflexivo,"ta xic!, ta xic! ech'el",Todos los domingos el hombre lleva a su niña a la plaza. Li vinique scotol rominco ta xic! ech'el yantsil nich'on ta ch'ivit,,,,,"llevar vr ta xic!, ta xic! ech'el. ta xic!, ta xic! ech'el. Todos los domingos el hombre lleva a su niña a la plaza. Li vinique scotol rominco ta xic! ech'el yantsil nich'on ta ch'ivit."
1697,86,Morar,lora,vi,verbo intransitivo,ta x!oc!,,,,,,Morar: lora vi ta x!oc! ta x!oc!
1698,86,Morona,,f,sustantivo femenino,"jtoqluel Ch/en, Ixt oqtuel",,Ixt,Ixtapa,,,"Morona f jtoqluel Ch/en, Ixt oqtuel jtoqluel Ch/en, Ixt oqtuel"
1699,86,Mover,llueve,vi,verbo intransitivo,ta xact jo!,,,,,,Mover: llueve vi ta xact jo! ta xact jo!
1700,86,Movizna,,f,sustantivo femenino,"q'uinabal, vitslil jo!. En la sierra la llovizna dura días y a veces semanas. Li ta jabnaltique ta sjoctsaj jayib ctactal li q'uinabale, baq!uintic chjoc!tsaj jayib xemana. Cham q!uinobal Chen, Zin q!uinubal",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"Movizna f q'uinabal, vitslil jo!. En la q'uinabal, vitslil jo!. En la sierra la llovizna dura días y a veces semanas. Li ta jabnaltique ta sjoctsaj jayib ctactal li q'uinabale, baq!uintic chjoc!tsaj jayib xemana. Cham q!uinobal Chen, Zin q!uinubal"
