id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5416,174,ta xwluexav,vi,verbo intransitivo,verbo,"tiene vergiienza, se","Li biq'uit quereme ta xquexav, ja! yufun mu sc'an x'och ta yut na.",,,qluexlal ta xqluexoy; ta xqluexav,,"ta xwluexav vi tiene vergiienza, se mortifica. Li biq'uit quereme ta xquexav, ja! yufun mu sc'an x'och ta yut na. El niño tiene vergúenza, por eso no quiere entrar en la casa. mu sna' xqluexav sin vergúenza, no se avergiienza Véase qluexlal ta xqluexoy Ch/en se avergiienza, tiene vergúenza, le da pena, se mortifica Véase ta xqluexav"
5417,174,ta xqluexta be,,,variante dialectal,lo desvía Véase,,Zin,Zinacantán,ta sqluej,,ta xqluexta be Zin lo desvía Véase ta sqluej
5418,174,ta xq!ui,vi,verbo intransitivo,verbo,se tiende: tender (ropa,Li ixime sctan ta xq'ui ta balumil acto taquijue.,,,q'uiel,"ropa, maíz, etc., en el suelo","ta xq!ui vi se tiende: tender (ropa, maíz, etc., en el suelo). Li ixime sctan ta xq'ui ta balumil acto taquijue. Hay que tender el maíz en el suelo para que se seque. Véase q'uiel"
5419,174,ta xq'uixnaj,vi,verbo intransitivo,verbo,se calienta: calentarse.,,,,q'uixin,,ta xq'uixnaj vi se calienta: calentarse. Mi chalacan ta o'lol ctoc! li ptine ta xq'uixnaj ta ora. Si pones la olla en medio de la lumbre se va a calentar pronto. Véase q'uixin
5420,174,ta xtactav,vi,verbo intransitivo,verbo,"contesta, responde. Li",Li buch'u toj lec yo'one lec ta xtactav.,,,,,"ta xtactav vi contesta, responde. Li buch'u toj lec yo'one lec ta xtactav. El que es humilde contesta"
5421,174,bien.,,,variante dialectal,ta xtactoy Véase,,Ch'en,Chenalhó,taq'uel,,bien. Ch'en ta xtactoy Véase taq'uel
5422,174,ta xtajin,vi,verbo intransitivo,verbo,juega: jugar. Oy ep,Oy ep buch'utic ta xtajinic ta pelota avi.,,,tajimol,,ta xtajin vi juega: jugar. Oy ep buch'utic ta xtajinic ta pelota avi. 186 Hay muchos que van a jugar basquetbol hoy. Véase tajimol
5423,174,ta xtal,vi,verbo intransitivo,verbo,"viene, va a venir. Li avie",Li avie ta xtal li junmete.,,,talel ta xtal ta sjol; ta xjul ta sjol,,"ta xtal vi viene, va a venir. Li avie ta xtal li junmete. Ahora va a venir mi tía. Véase talel ta xtal ta sjol Ixf se acuerda: acordarse Véase ta xjul ta sjol"
5424,174,ta xtamolaj,vi,verbo intransitivo,verbo,atiende un parto,Li antse yacal ta xtamolaj.,,,tamel,atender,ta xtamolaj vi atiende un parto (atender). Li antse yacal ta xtamolaj. La mujer está atendiendo un parto. Véase tamel
5425,174,ta xtanij,vi,verbo intransitivo,verbo,"tira, derrama (cosas",Li cheneq'ue ta xtanij yu'un mo! lec juchul li moche.,,,taniel,cosas secas,"ta xtanij vi tira, derrama (cosas secas). Li cheneq'ue ta xtanij yu'un mo! lec juchul li moche. El frijol se va a derramar porque la canasta no está bien colocada. Véase taniel"
5426,174,ta xtaquij,vi,verbo intransitivo,verbo,"se seca, se marchita. Ta",Ta xtaquij li nichime yutun la sctuxbe yibel li bae.,,,taquin,,"ta xtaquij vi se seca, se marchita. Ta xtaquij li nichime yutun la sctuxbe yibel li bae. La planta de la flor se va a secar porque la tuza cortó la raíz. Véase taquin"
5427,174,ta xtaquij,,,variante dialectal,"se seca, se enflaquece",,Ixt,Ixtapa,ta xbacub; ta xjich'ilub,,"ta xtaquij Ixt se seca, se enflaquece, se adelgaza Véase ta xbacub; ta xjich'ilub"
5428,174,ta xtatub,vi,verbo intransitivo,verbo,se espesa; se ensucia.,,,,tot,,ta xtatub vi se espesa; se ensucia. C!aluc ep chich' voch' li ule lec ta xtatub. El atole se espesa bien cuando se le echa bastante masa. Véase tot
5429,174,ta xtavan,vi,verbo intransitivo,verbo,"se aburre, se fastidia.",Ta xtavan xca'i c'alal muc bu chibat ta abtele.,,,tavamel,,"ta xtavan vi se aburre, se fastidia. Ta xtavan xca'i c'alal muc bu chibat ta abtele. Me aburro cuando no voy a trabajar. Véase tavamel"
5430,174,ta xta'aj,vi,verbo intransitivo,verbo,"se madura, se cuece:",Li lobole lec ta xta'aj ta ba coc'.,,,ta'ajel,,"ta xta'aj vi se madura, se cuece: cocerse. Li lobole lec ta xta'aj ta ba coc'. El plátano se madura bien arriba de la lumbre. Véase ta'ajel"
