Número,Tsotsil
365,jo'ob sbalunlajunvinik
366,vakib sbalunlajunvinik
367,jukub sbalunlajunvinik
368,vaxakib sbalunlajunvinik
369,baluneb sbalunlajunvinik
370,lajuneb sbalunlajunvinik
371,buluchib sbalunlajunvinik
372,lajchaeb sbalunlajunvinik
373,oxlajuneb sbalunlajunvinik
374,chanlajuneb sbalunlajunvinik
375,jo'lajuneb sbalunlajunvinik
376,vaclajuneb sbalunlajunvinik
377,vuklajuneb sbalunlajunvinik
378,vaxacklajuneb sbalunlajunvinik
379,balunlajuneb sbalunlajunvinik
380,balunlajunvinik
381,jun sjboc'
382,chib sjboc'
383,oxib sjboc'
384,chanib sjboc'
385,jo'ob sjboc'
386,vakib sjboc'
387,jukub sjboc'
388,vaxakib sjboc'
389,baluneb sjboc'
390,lajuneb sjboc'
391,buluchib sjboc'
392,lajchaeb sjboc'
393,oxlajuneb sjboc'
394,chanlajuneb sjboc'
395,jo'lajuneb sjboc'
396,vaclajuneb sjboc'
397,vuklajuneb sjboc'
398,vaxacklajuneb sjboc'
399,balunlajuneb sjboc'
400,jboc'
